time,round,veh_id,rsu_id,veh_x,veh_y,dist
155.0,15,veh0,rsu_2,592.2,582.51,129.85
155.0,15,veh2,rsu_1,606.14,1299.51,96.76
155.0,15,veh4,rsu_2,472.71,746.46,73.35
155.0,15,veh7,rsu_1,522.17,1132.71,90.1
155.0,15,veh9,rsu_0,333.56,828.01,40.23
156.0,15,veh0,rsu_2,596.66,576.78,137.11
156.0,15,veh2,rsu_1,606.23,1299.7,96.98
156.0,15,veh4,rsu_2,476.78,740.13,65.82
156.0,15,veh7,rsu_1,513.26,1120.18,105.24
156.0,15,veh9,rsu_0,338.47,825.84,39.54
157.0,15,veh0,rsu_2,602.75,572.11,144.57
157.0,15,veh2,rsu_1,606.28,1299.78,97.07
157.0,15,veh4,rsu_2,480.87,733.8,58.29
157.0,15,veh7,rsu_1,504.69,1108.13,119.86
157.0,15,veh9,rsu_0,341.87,821.87,41.79
158.0,15,veh2,rsu_1,606.28,1299.79,97.08
158.0,15,veh4,rsu_2,484.7,728.18,51.5
158.0,15,veh7,rsu_1,496.16,1096.14,134.44
158.0,15,veh9,rsu_0,341.32,816.55,46.97
159.0,15,veh2,rsu_1,606.29,1299.79,97.08
159.0,15,veh4,rsu_2,488.64,722.14,44.3
159.0,15,veh7,rsu_1,487.19,1083.53,149.81
159.0,15,veh9,rsu_0,339.12,811.48,52.49
160.0,16,veh2,rsu_1,606.29,1299.79,97.08
160.0,16,veh4,rsu_2,492.11,716.59,37.75
160.0,16,veh9,rsu_0,335.77,804.33,60.35
161.0,16,veh2,rsu_1,606.29,1299.79,97.08
161.0,16,veh4,rsu_2,496.65,710.62,30.31
161.0,16,veh9,rsu_0,331.65,795.72,69.86
162.0,16,veh2,rsu_1,606.29,1299.79,97.08
162.0,16,veh4,rsu_2,498.38,704.04,23.77
162.0,16,veh9,rsu_0,329.44,784.22,81.42
163.0,16,veh2,rsu_1,606.29,1299.79,97.08
163.0,16,veh4,rsu_2,502.85,699.32,17.42
163.0,16,veh9,rsu_0,324.31,774.06,92.72
164.0,16,veh2,rsu_1,607.04,1301.5,98.95
164.0,16,veh4,rsu_2,507.07,693.85,10.64
164.0,16,veh9,rsu_0,319.17,763.87,104.07
165.0,16,veh2,rsu_1,606.94,1305.57,102.49
165.0,16,veh4,rsu_2,511.46,688.14,4.06
165.0,16,veh9,rsu_0,314.19,754.05,115.03
166.0,16,veh2,rsu_1,602.06,1308.21,102.73
166.0,16,veh4,rsu_2,515.49,682.89,4.35
166.0,16,veh9,rsu_0,309.0,743.84,126.44
167.0,16,veh2,rsu_1,595.23,1310.37,102.12
167.0,16,veh4,rsu_2,519.53,677.71,10.4
167.0,16,veh7,rsu_0,426.2,981.46,139.13
167.0,16,veh9,rsu_0,304.06,734.12,137.31
168.0,16,veh2,rsu_1,586.71,1312.57,101.59
168.0,16,veh4,rsu_2,524.09,671.89,17.67
168.0,16,veh7,rsu_0,418.84,967.64,123.48
168.0,16,veh9,rsu_0,298.81,724.53,148.18
169.0,16,veh2,rsu_1,576.19,1315.0,101.71
169.0,16,veh4,rsu_2,528.11,666.57,24.27
169.0,16,veh7,rsu_0,411.59,953.96,108.02
170.0,17,veh2,rsu_1,563.38,1317.86,103.28
170.0,17,veh4,rsu_2,532.45,660.38,31.77
171.0,17,veh2,rsu_1,547.99,1321.08,107.07
171.0,17,veh4,rsu_2,536.96,654.51,39.15
172.0,17,veh2,rsu_1,532.31,1324.35,113.05
172.0,17,veh4,rsu_2,541.25,648.92,46.19
173.0,17,veh2,rsu_1,516.82,1327.57,120.77
173.0,17,veh4,rsu_2,545.9,642.85,53.83
174.0,17,veh2,rsu_1,502.07,1330.35,129.23
174.0,17,veh4,rsu_2,550.51,636.84,61.4
175.0,17,veh2,rsu_1,486.54,1332.54,138.71
175.0,17,veh4,rsu_2,554.63,631.46,68.17
175.0,17,veh6,rsu_0,292.68,726.7,148.71
176.0,17,veh2,rsu_1,470.53,1334.41,149.27
176.0,17,veh4,rsu_2,558.8,626.02,75.02
176.0,17,veh6,rsu_0,299.46,739.19,134.53
177.0,17,veh4,rsu_2,563.23,620.26,82.28
